Link,Title,Authors,MainIdea,Problems,Solutions,THRIVE,Implement
https://drive.google.com/file/d/1X3fASDD3xcq6ffndJV_kJRz7ekH9_dkm/view?usp=sharing,Domestic Violence and Mass Shootings: A Review of Current Academic Literature,"Dr. Lin Huff-Corzine, Dr. Thomas Marvell","Literature review of intersection of domestic violence and mass shootings, reviewing research on whether a history of domestic violence predicts mass shootings, particularly domestic mass murders (finds that while domestic abuse is common among mass shooters, the rarity of mass shootings means domestic violence history alone cannot predict them although better enforcement of domestic violence laws and firearm restrictions could reduce mass shootings)
","In FL as elsewhere, high prevalence of domestic violence among mass shooters, especially in domestic mass murders;inconsistent enforcement of domestic violence laws; weak data collection on domestic abuse history and offender risk factors; loopholes in firearm access for individuals with domestic violence histories; lack of clarity in defining domestic violence and mass shootings; over-reliance broad mental health diagnoses instead of focusing on personality traits and behavioral patterns.","Strengthen law enforcement accountability models (e.g., High Point model) to prevent escalation of DV; implement & enforce firearm restrictions for domestic abusers, including bans on high-capacity magazines; improve data systems to track domestic violence history in risk assessment; more precise risk assessment tools focused on behavioral indicators beyond criminal records",Livability,"Advocate for local adoption of proactive domestic violence interventions (e.g., High Point model); collab with domestic violence prevention organizations to strengthen links between DV prevention and mass violence prevention strategies; law enforcement and court systems in THRIVE communities to improve DV case monitoring and enforcement of protective firearm laws."
https://drive.google.com/file/d/1wAVKqbj0VWCQWiXyB58yO5oiuZ1fdNiY/view?usp=sharing,Advance Peace & Focused Deterrence: What are the Differences?,Advance Peace,"The Advance Peace approach, a public health and trauma-informed model for reducing gun violence, differs from focused deterrence by avoiding law enforcement, working 1:1 with the most lethal actors in firearm violence, and offering healing-centered care via long-term fellowships","Gun violence hyper-concentrated among a small group of high-risk individuals; structural racism, disinvestment, and trauma → cycles of violence; focused deterrence often fails to reach the highest-risk individuals and aggressive policing erodes community trust and worsens trauma; short-term funding and lack of local ownership hinder sustainability","Advance Peace enacts daily mentoring through the 18-month Peacemaker Fellowship for highest-risk individuals; LifeMAPs to support mental health, healing, and positive development and programs led by credible messengers, separate from law enforcement; long term, locally embedded public health strategy focused on human development, not just deterrence",Livability,"Pilot Advance Peace-style Peacemaker Fellowship model in CF neighborhoods with high firearm violence & fund and embed Neighborhood Change Agents (NCAs) to do street outreach, mediation, and healing support"
https://drive.google.com/file/d/1vhXuNfwQDDcHL1HSzzW3QwOcun4UUbGw/view?usp=sharing,AgLanta Fresh Food Access Report (2020),City of Atlanta Department of City Planning,"This report is a progress tracking document for the city of Atlanta's  goal of having 85% of residents within a half-mile of fresh, affordable food by the year 2022. The report assesses disparities in access, documents progress, and issues equity-centered policy recommendations.

","As of 2015, only 52% of ATL's residents were within 0.5 miles of fresh food; many (disproportionately Black, seniors, and children) lived in LILA (Low-Income Low-Access) areas.; so far geographic inequities, with some neighborhoods (especially in South and West Atlanta) seeing minimal improvements;  problems with city policy limited on-site farm food sales; worsened by the fact LILA areas have higher poverty & more limited mobility & are strongly correlated with low economic opportunity.",Expanding neighborhood markets and allow food sales on/from farms/gardens; expand MARTA Markets to increase transit-based access to fresh food.; design  a citywide food systems master plan with a focus on equity & community involvement; urban agriculture and local producers as key infrastructure for food justice,Livability,"Central Florida has many LILA zones--a group like FCI could map these zones to identify areas with low economic mobility and poor food access for intervention; CFF funding (microgrants?) for local urban farms and food hubs in becoming yearround vendors (esp policy-wise, with permitting and funding support); partnerships with transit authorities to explore mobile markets or transit station food distribution (like MARTA Markets)."
https://drive.google.com/file/d/1tito2pFVWMiw-NdRfhgswRgW72msduES/view?usp=sharing,How Houston is trying to make philanthropy work smarter in disaster recovery,John Brannen from Kinder Institute for Urban Research,"Greater Houston Disaster Alliance is coordinating philanthropic efforts to support disaster recovery and resilience -->  for vulnerable communities by improving fund distribution, data collection, &  strategic planning",Philanthropic disaster funding overwhelmingly prioritizes immediate relief over long term recovery and resilience; low-income communities often face delays or barriers to federal assistance; FEMA applications are complex and under-supported; many CF residents  lack financial cushion for even minor disasters; data on community needs often delayed or missing; repeated weather events are exacerbating financial/physical instability for the most vulnerable,Develop and fund systems that direct philanthropic resources toward long-term recovery and preparedness; support immediate post-disaster needs assessments through community surveys and data science partnerships; push for better FEMA support via case managers and community navigators; create standing funds or reserve capacity for intermediate recovery assistance; invest in resiliency infrastructure targeting low-income and high-risk areas; improve communication and grantmaking alignment between government and nonprofits to reduce duplication & gaps,Livability,"Outreach to in order to model/partner with the Greater Houston Disaster Alliance and Connective to co-develop localized damage assessment tools that feed into recovery grantmaking; establish a fund mechanism at CF that allows for rapid deployment of recovery dollars targeted to ZIP codes with high vulnerability; integrate disaster resilience planning into existing place-based work (e.g., home repairs, energy reliability, and emergency food access); provide grants or technical assistance to nonprofits helping with FEMA applications"
https://drive.google.com/file/d/1SYPARcQKucnNFWzc_b-bWpPcy2b67yu8/view?usp=sharing,Orlando Task Force Final Report (2007),City of Orlando Government / Task Force on Violent Crime,"A citywide plan addressing a sharp rise in violent crime through coordinated prevention, law enforcement, and reintegration strategies.","Violent crimes rose significantly between 2005–2006. Youth were both primary victims and offenders. Root causes included poverty, lack of role models, weak family engagement, and limited reentry support.","Prevention: Media and community campaigns, after-school and mentoring programs, stronger family and literacy initiatives.
Law Enforcement: Expanded community policing, gun bounty program, recruitment incentives, and better patrol distribution.
Reintegration: Creation of HELP Centers, transitional housing, and faith-based reentry partnerships.",Livability,"Partner with local agencies to expand youth engagement and mentorship programs, strengthen reentry services through community hubs, and assess which 2007 strategies remain effective. Support collaborations that link prevention and reintegration as unified safety efforts."
https://drive.google.com/file/d/1sNnX554fClmZt5BSBtiNPpxIdXlNtmV2/view?usp=sharing,"ADDRESSING LEGAL ISSUES IN YOUTH DIVERSION
A TOOLKIT","Leah Zeidler-Ordaz,","Toolkit for practical legal guidance for jurisdictions establishing or improving pre-arrest and pre-booking youth diversion programs, drawing on lessons from Los Angeles County’s Youth Diversion and Development (YDD) program","Risk of “net-widening,” where diversion programs unintentionally expand justice system involvement; lack of legal support for youth and families in diversion programs; risk of criminalization of normal youth behaviors (especially impacting girls, youth of color, and LGBT youth); inconsistent referral practices by law enforcement leading to inappropriate diversion referrals; limited accountability mechanisms to prevent misuse of diversion programs; legal ambiguity around information sharing and record sealing.","Strong legal infrastructure w early partnerships with legal services to provide training, consultations, and direct services; data monitoring and dashboards to track referrals and flag net-widening; policies to empower CBO providers to reject inappropriate referrals and focus on diverting only cases that would otherwise go deeper into the justice system; decriminalize low level offenses and prevent unnecessary law enforcement involvement",Livability,Establish/pilot pre-arrest diversion programs modeled on YDD; facilitate connections between CBOs and legal aid groups to ensure legal support is embedded in diversion programs; advocate local policies to decriminalize low level offenses and adopt “counsel and release” practices; work with school districts in THRIVE regions to limit police involvement in minor discipline cases?
https://drive.google.com/file/d/1SCGHrGUQbanN34c0pk24NEcFlqYVQsZn/view?usp=sharing,UNITED ARTS Response to DeVos Institute of Arts Management’s Orange County Arts Ecology Study,United Arts,"Audit of Orange County’s arts and cultural sector to assess capacity, growth needs, community alignment, and opportunities to scale with regional population and tourism growth","Arts organizations lack capacity to match rapid population growth and tourism economy; inadequate resources and mentorship for BIPOC-led arts organizations; young, underfunded arts sector compared to peer cities; poor national marketing and visibility of local arts","Long range 2-5 yr strategic and artistic planning capacity; arts incubators; cultural tourism via partnershps w/ Visit Orlando and Experience Kissimmee; affordable artist studios, performance spaces, and artist co-ops",Livability,Fund and launch a regional arts incubator; advocate for county/city policy that mandates use of vacant public/commercial space for arts usage and creates affordable artist live/work zones; offer multi-year general operating support grants to arts organizations tied to strategic planning milestones
https://drive.google.com/file/d/1S-bJpR1aWBDWakZURhQ2QkzcOZ8w6CEl/view?usp=sharing,"Much Alarm, Less Action: Foundations & Climate Change","Naomi Orensten, Katarina Malmgren, and Maria Lopez","The report examines philanthropy’s limited response to climate change, despite broad recognition among foundation and nonprofit leaders that it is an urgent, existential crisis. While over 70% of foundations acknowledge climate impacts, less than 2% of global philanthropic giving goes toward climate mitigation. ","Low philanthropic investment: Most funders allocate <20% of their giving to climate causes.
Inaction among non-climate funders: 79% say climate work is “not part of their mission.”
Inequitable funding: Few resources reach BIPOC-led or frontline climate justice organizations.
Minimal divestment: <25% of foundations avoid fossil fuel investments.
","Increase climate-related grantmaking and investments (divest from fossil fuels, fund mitigation/adaptation/justice).
Strengthen policy and advocacy to address root causes.
Promote collaboration and narrative change to shift public discourse.
Encourage non-climate funders to connect climate to their missions (e.g., health, education, housing).",Livability,"Develop cross-sector partnerships linking health, housing, and climate resilience.
Support grassroots and BIPOC-led climate justice organizations.
Launch regional climate impact dashboards connecting community health and environmental data"
https://drive.google.com/file/d/1ryrmuvWGIVaH3N0DKuTCQcQOQ1RsG_xW/view?usp=sharing,2022–2023 Impact Report,Foundation for a Healthier West Orange,"Recap of FHWO's direct programming, health access expansion, and civic partnerships in West Orange County",Lack of streamlined access to existing health and wellness services; insufficient physical activity among children; fragmented local partnerships across municipalities; low visibility for small community-based health programs; need for infrastructure that supports movement and health literacy; disparities in access to outdoor spaces and transit,"Expansion on projects -- wellness infrastructure like parks and boardwalks; youth movement programs embedded in schools (Westly’s Mile); use of challenges, events, and social media to drive resident engagement",Livability,"Replicate HUBB Direct as a neighborhood-based navigation hub in other underserved CF zip codes (e.g. Pine Hills, Bithlo, Four Corners); fund health-themed infrastructure (walking loops, fitness pavilions, pop-up parks) in historically underinvested areas using the Ocoee mode"
https://drive.google.com/file/d/1rcJv_ZOGPvnFga4w8C_MTvEJ6_TMdNJ9/view?usp=sharing ,11 Trends in Philanthropy for 2025,Dorothy A. Johnson Center for Philanthropy,"This article takes a look at long-championed trends that have changed or been influenced by the COVID-19 pandemic in the world of philanthropy and non-profits, and whether or not they are currently being sustained. Future projected trends, such as increased lobbying, sunrise giving, aging in-need population, Giving Days (24 hour events), and the future of volunteer management are also discussed.","Many positive COVID-19 trends that prioritized general operation support for non-profits and philanthropic organizations, such as streamlined reporting, simplified applications, and flexible funding have been reverted to pre-pandemic times. There has also been a decline of household participation in charitable giving, directly traced to federal tax code rewrites (another round expected in 2025). Ever-increasing older population warrants increased focus on non-profit services catering to the needs of that age group.",Increased understanding of The system and lobbying- paired with better sector relations with legislators and decision-makers. + Nonprofits should also focus on advancing The wellbeing of their employees and volunteers. + Orange County community Foundation provides a platform for multiple giving days throughout The year to benefit different causes.,Livability,Highlight better/more effective lobbying techniques for non-profits and similar groups. + Encourage other counties in CF should provide a similar platform to Orange County’s GivingDay one. + Updated and potentially virtual volunteer management systems that account for new trend of intermittent volunteering instead of routine.
https://drive.google.com/file/d/1QoKAvin_r7OzfrGR4ChlLNocH6ovdU2m/view?usp=drive_link,Local Sustainability Implementation,University of Central Florida,"Survey assessing how US cities with populations over 20K are implementing sustainability work, covering staffing, budgets, policy tools, community collaboration, and the impacts of Covid-19",Limited staffing (62% cite staff capacity as a barrier) and budgets (only 25% have dedicated sustainability funds); many conflicts with other budget priorities (90%); pandemic disruptions of program implementation (48%); lack of informational resources (43%); disconnect between sustainability rhetoric and practical resource allocation.,"High external collaboration with environmental groups and the public; increasing use of mixed strategies (policy, education, incentives); data-driven practices like GHG inventories linked to modest emissions reductions; sustainability offices can use small wins (e.g., farmers markets, sidewalks, buy local campaigns) to build momentum.",Livability,
https://drive.google.com/file/d/1QmQbhm648ZR1dDZSbv5C501uxYYLNETz/view?usp=sharing,Health Indicators of Sustainable Cities,World Health Organization,"Actions to improve urban cities and subsequent resident health are detailed here– from housing standards to pollution reduction, improvement of transportation, and prevention of urban violence. ","Outdoor urban air pollution, physical inacitivity, traffic injuries, and violence are on the rise and worsening with the further urbanization.  ","Improve access to health and sanitization services, food markets, and urban infrastructure. Strengthen urban institutions and provide them with the capacity to manage growth and handle emerging challenges to urban sustainability. ",Livability,"Advocate for the development of green spaces and sustainable urban policies and collect data/report on all indicators (urban air quality, premature mortality from cardiorespiratory disease, urban housing and health, safe energy-efficient transportation, opportunities for physical activity, and violence and security). "
https://drive.google.com/file/d/1POOQs0nAH0j8K2Ucy3aSYeQfGWNhvdmC/view?usp=sharing,Sustainable Operations and Resilience Action Plan,Orange County Government,"A framework to cut emissions, enhance resilience, and embed sustainability in county operations.","High emissions, inefficient infrastructure, water strain, heavy fuel dependence, and natural land loss.","Reduce emissions 30% by 2030, shift to renewable energy, electrify fleet, expand green buildings, improve water efficiency, and preserve land.",Livability,"Support local renewable and EV initiatives, promote sustainable procurement, expand tree canopy programs, and coordinate regional resilience tracking."
https://drive.google.com/file/d/1OeMrbzQErqKNTzcqLuxgxmgh9hltsiM5/view?usp=sharing,Let's Talk Climate: A How-To Guide,The Nature Conservancy,"Consistent conversation about climate change is crucial to take action, tackle the problems, and see progress. To start the conversation, one must meet others where theyre at, form a connection, focus on opening a two-way discussion, and remember and honor the humanity and dignity of the person you are talking to. ","Climate change is such a taboo topic of conversation, making it difficult to take action, make or amend policy, or just discuss issues at hand. Meanwhile, communities are suffering and facing repercussions of these changes. ","Facilitate open, honest discussions that foster questions, open-mindedness, and learning on both sides. Allow climate change education to take a more informal, conversational approach. ",Livability,"Facilitate open discussions about climate change, welcome questions, encourage everyone to keep an open mind, and promote learning on both sides of the conversation. Provide safe places to have these discussions. "
https://drive.google.com/file/d/1O2YFUdYx7tK8tH1Ma6B4M7RjZc0APIt_/view?usp=sharing,Orange County Green PLACE Program 2023 Annual Report,Orange County Government- Florida,"This article lists the annual progress updates of Orange County’s PLACE program, a conservation initiative with the goal to increase the amount of protected environmentally sensitive lands to 46,000 acres by 2030. Green PLACE (Park Land Acquisition for Conservation and Environmental Protection) aims to preserve national resources, protect wildlife, and provide wildlife corridors.","-The PLACE program acreage relies heavily on partners to help obtain and maintain properties. Only 5,413 acres/23,778 total acres claimed by the program are directly controlled by PLACE. + Acreage has to be evaluated through specific government guidelines and purchase prices are often in the millions.","-Use volunteer efforts for restoration projects, cleanup efforts, and land management activities. + Public Fundraising or seeking private donors for continued conservation efforts? Land is extremely expensive!",Livability,-Only 31 volunteer hours were recorded as assistance provided to Green PLACE. Expansion and advertising of the Green PLACE volunteer program would allow for easier maintenance and greater public attention to be brought to the effort.
https://drive.google.com/file/d/1Nx5Egafb9VBIe-4GSO0FgqHPSR0HyXgb/view?usp=sharing,A New Power Grid: Building Healthy Communities at Year Five,The California Endowment,"BHC recaps its strengths, successess, weaknesses and failures so far in their iniative to build up public health outcomes across underserved California communities",In CF as in California: harsh school discipline practices; poor walkability and access to green spaces; insufficient civic power in underserved communities; poor alignment between local and statewide efforts; over-reliance on short-term grants; underutilization of narrative storytelling in policy work,-,Livability,Sshift funding structure to include more multi-year general operating grants; build coalitions to pass Health in All Policies resolutions at the city and county level; train and fund youth led organizations to co-design school wellness and discipline reform
https://drive.google.com/file/d/1NGTgZeYWjgXRm2RAPhGuyYsgtdTbuFKL/view?usp=sharing,The Black Climate Mandate,The Black Hive @ M4BL,"Black communities are disproportionately polluted, affected by the climate crisis, and preyed on by degrading industries.  ",Black communities are disproportionately affected by the climate crisis and often face economic instability after times of forced retreat due to extreme weather events. ,"State-wide assessments of the vulnerability of Black communities to environmental risks, update all policies/mitigation strategies addressing managed retreat, establish an energency water assistance in priority disaster areas, fund rehabilitation and support services",Livability,"Assessments of the vulnerability of Black communities to environmental risks, advocate for proper accounting of all marginalized communities in climate decisions"
https://drive.google.com/file/d/1mZjyN6drU4ejuAMXKMHGgUOZscBZhrE2/view?usp=sharing,The Ambition Gap: From Intent to Implementation in Local Climate Action,ICLEI- Local Governments for Sustainability ,"This policy brief aims to address the ""ambition gap"" by covering the need for federal funding of local government climate action, the need for bespoke technical assistance, sustainability teams in local government, agency of members, and the importance of elected leaders. ","Inequitable adaptaion and accounting of communities in the state. Disporportionate affects of climate change. Improper allocation of resources and funding in climate adaptation, disaser relief, infrastructure planning and development, etc. ","Develop GHG inventory and identify climate risks, create the climate action plan, design specific activities, integrate climate action and resource allocation, purchase specific tools or infrastructure, and execute a project task or process. ",Livability,Advocate for local approaches. Engage the community throughout this process to ensure resources are allocated properly. Streamline assessment (US Community Protocol for accounting and Reporting of GHG Emissions Dash track) and enable next generation insights (USCP Plus track)
https://drive.google.com/file/d/1ltH2wo1BeyUpCF4g7p9W7WJsBUOBwwUu/view?usp=sharing,Orange County Citizens Safety Task Force Report,Orange County Government,"The Orange County Citizens Safety Task Force was formed after the occurrence of 7 shootings within a short time span of minors under the age of 17. The group consisted of 37 highly diverse and qualified people dedicated to brainstorming solutions to the issue of gun violence in the Orange County community. After reviewing state & local data on gun violence, risk and protective factors, evidence-based programs and practices, and intervention strategies, they came up with a roadmap of 20 recommendations.","High levels of violent crime, not unique to Orange County, but still a persistent and dangerous threat. Several resident made talking points regarding community issues were made: proactivity in addressing gun violence, support organizations that provide youth with a positive outlet, and support re-entry programs.",-Minimize ACE (Adverse Childhood Experiences) to avoid high-risk behavior. + Invest in “Credible Messengers” located within target zip codes and Positive Youth Development programs. Avoid investing in practices that have proven to be ineffective (i.e. boot camps). + Increase the use of diversion programs. + Reduce Access to illegal firearms + End the Cash Bail System (punishes the poor). + Fund community specific (trusted) programs. + Increase mental health services.,Livability,"-Collaborate with and support citizen groups that advocate for Common Sense Gun Legislation at the State level. County level has more limited jurisdiction. + Improve or advocate to improve overall neighborhood conditions (broken windows theory). + Community Safety Forums in partnership with community members and stakeholders. + Encourage and promote community policing, as well as public safety workshops."
https://drive.google.com/file/d/1i3hs-rFCHSd0SMDV3PPTcbOufA-COCHZ/view?usp=sharing,Commentary- Florida’s Future Depends on Compassionate Response to Homelessness,Orlando Sentinel,This opinion article discusses the ramifications of the US Supreme Court’s eventual decision in Grants Pass v. Johnson- a case covering the legality of criminalizing homelessness. This decision will have a direct influence on Florida’s new anti-camping legislation and smaller governments’ goals in reducing homelessness.,"The explosive growth in The State of Florida, lacking urgent supplies and needs required by overrun homeless shelters, and lack of general public understanding of The homeless situation are all issues of concern identified by The author.","support local organizations that are currently working on this issue (Florida Coalition to End Homelessness, Lift Orlando, Habitat for Humanity, Florida Housing Coalition, etc) + Address The growing shortage of affordable Housing and shelter needs.",Livability,"help spread public awareness and arouse compassion for The homeless and their situations. + help garner public support for compassionate, yet reasonable responses to The issue."
